descripcion_articulo,ref_local,nombre_marca,nombre_version,nombre_modelo,bastidor,codigo,combustible,precio,observaciones,codigo_motor,codigo_cambio,color,ref_principal,puertas,p_urls_imgs,v_urls_imgs,potencia_hp,cilindrada
CENTRALITA MOTOR UCE,103129,OPEL,Club,ASTRA G BERLINA,W0L0TGF35Y8119128,1020,Diesel,1653,"* DEBEN COINCIDIR TODAS LAS REFERENCIA.
* LAS PIEZAS ELECTRONICAS NO TIENEN DEVOLUCION/GARANTIA.

REFERENCIAS:
• OPEL: 09181243  9181243
• BOSCH: 0281010050",Y20DTH,,BLANCO,SLV09181243,5.0,"image_url.com/lVjpP7sRT1LI8tXUwCpLgI8x5C9rL1DF3l2W_rZu6iqfR41E3faMLA==,image_url.com/358PVRFJ84MIh7JiQT4JjUkzFe_w0ckSxm6TrTr_8aVCNLflgeIw0A==,image_url.com/ZhAYD82N0k5aevhfDqi8pxKNXiIAXJY7YiLzcCvd6KIu-P5-6PAo0g==","image_url.com/2d5y98W7zEhMtN4MSfcwdmigHPybfaH87EAZmWZcuO7y-Mco7n_z_A==,image_url.com/swBF-eK67hN54rxQuh8cxhHnofIc5JCYoKgMv3Wlk1UkkZSatHaHMw==,image_url.com/HhqmB7UL7QBx8Kht0tak4ukH9uJsq0jLWwpz2druRj9JNTlZGLORQg==",101,1995
AMORTIGUADOR DELANTERO DERECHO,1488374,CITROEN,SX,BERLINGO FURGÓN,VF77J9HXC9J018587,29876,Diesel,2479,"COMPATIBLES:
• PSA : 520882  9684108480  520888  520884  5202XV  520886  520876  5202ZT  5208X6  520880  520878  5202XX  5202ZW  520874",9HX,20DP47,GRIS ALUMINIUM [EZR],SLV520884,4.0,,"image_url.com/Dn7Sia99LDzU5ebpKvTxke1c_dWWLK67YD8W5ZRCzjYuJJhMbyGwWw==,image_url.com/LmVN4LNR_vJjsFDf2VFRg1JBNCiygjduUM3OiM_mBnakPGHmjOqDQg==,image_url.com/6waaPaMOxXd520ZcSRpCsRqE5I4Y5NCBKZEGnXUa97Hb7Y4KGHYbHw==,image_url.com/LSZTfzwOnrqZIeHDQ7BYayMB2bPHOgMro8LYPm15HGOeRUkn1r80Ww==,image_url.com/rzYxXFL3yAnbJHJaZtqafUmQl9Ddk2A4lkZPwN-np93jr8XqJX6IPg==",90,1560
AMORTIGUADOR TRASERO IZQUIERDO,1511666,PEUGEOT,SW Pack,307 BREAK/ SW (S2),VF33HRHRH84418385,30309,Diesel,1653,"COMPATIBLES:
• PSA : 5206T9  5206CR
• SACHS : 814903005486  381700315167  381700313920",RHR,,NEGRO,SLV5206CR,5.0,,"image_url.com/FL4swJCbyWOWApyS6wsKwW19hz3s3VtuGTdkYot5bpzuFvgnWSStQw==,image_url.com/t_hoE9g9NplPpoGM6MrFeX9XNcuqtVyYyUB6PGvKigFL1_7loEOuGg==,image_url.com/CLExamW3spr-Rlea-xWxho3ISMK3cOiqrRwEp1ZwGCkYxM_kYOtSLg==,image_url.com/HqIMKsT7vZ8hyL6JxqhspU9Jr7wDibta6j59OMH51sbRLZKedUGu3w==,image_url.com/5FhmHhZoznff02Q7nYdUjjh0ZYjzeovgDdzC7roi-sG4cbOSMImhRg==",136,1997
AMORTIGUADOR TRASERO DERECHO,1481038,PEUGEOT,X-Line,207,VF3WCKFUC33581439,29731,Sin plomo 91,1653,"COMPATIBLES:
• PSA : 5206QA  5206FF  5206FT  5206FS  5206JP  5206PZ  5206NV  5206QC  5206FE
• SACHS : 381700313683
• TRW : JGT574S  JGT573S",KFU,,PLATA,SLV5206FE,5.0,,"image_url.com/1bR47ttDJhu7ictt9M7vrmjMuEYT_49h0TLpUz1ADJVbZBzvhz3fpg==,image_url.com/EqX7ZwGUZ6yMJKWYa5NXmFHaflltlYqqAt3ncA4fO4YwfEC1zozulg==,image_url.com/fp-YgzlpRhB0lvlU00wLS67svfm7GHT9SP2TUmNGpJ6h5cn4BuTrEg==,image_url.com/svO0CB-azqa3QRT27vOf0BU77ty3M5ZGNlkI1Z10GkFlrzjfn9nwzw==,image_url.com/UEPaxuLfwGZf9Tujuq3xem6uWSZNjweeW-fe-hClWfVrPcwE5_U6bA==",88,1360
AMORTIGUADOR TRASERO IZQUIERDO,1481039,PEUGEOT,X-Line,207,VF3WCKFUC33581439,29731,Sin plomo 91,1653,"COMPATIBLES:
• PSA : 5206QA  5206FF  5206FT  5206FS  5206JP  5206PZ  5206NV  5206QC  5206FE
• SACHS : 381700313683
• TRW : JGT574S  JGT573S",KFU,,PLATA,SLV5206FE,5.0,,"image_url.com/1bR47ttDJhu7ictt9M7vrmjMuEYT_49h0TLpUz1ADJVbZBzvhz3fpg==,image_url.com/EqX7ZwGUZ6yMJKWYa5NXmFHaflltlYqqAt3ncA4fO4YwfEC1zozulg==,image_url.com/fp-YgzlpRhB0lvlU00wLS67svfm7GHT9SP2TUmNGpJ6h5cn4BuTrEg==,image_url.com/svO0CB-azqa3QRT27vOf0BU77ty3M5ZGNlkI1Z10GkFlrzjfn9nwzw==,image_url.com/UEPaxuLfwGZf9Tujuq3xem6uWSZNjweeW-fe-hClWfVrPcwE5_U6bA==",88,1360
AMORTIGUADOR TRASERO DERECHO,1545376,CITROEN,Feel,GRAND C4 PICASSO/SPACETOURER,VF73AAHXTGJ722338,31133,Diesel,2479,"COMPATIBLES:
• PSA : 9806083180  9807259480  9817404780  9808182680  9817404580  9808182780  9809839480  9809089080",AH01,,GRIS,SLV9817404580,5.0,,"image_url.com/SToSFsTgOPdn8FqakzqOzNyQafBtk3SPDI21EBQe_dgREU9Gjdr9cg==,image_url.com/BEihFyzIw6EQZVI7aS7asEt85YYbYI_nrNhsY47uM1DQj-3uSEUlMQ==,image_url.com/YmIIZXl4YwtInY02MgKXGtdwCNYV-mCVw4_x9b3DzI8cnmru4xHjtg==,image_url.com/kson8_VSJLW_ahe-bLfalKbZ3oHzKAAa2NTJMr2s9gEEYHqsG6TyKQ==,image_url.com/XoJyv6G_dux7uBwEDaGctkocccsmL2rypDr-5TQ0iGiVxt-0jZ7oIQ==",150,1997
AMORTIGUADOR TRASERO IZQUIERDO,1545377,CITROEN,Feel,GRAND C4 PICASSO/SPACETOURER,VF73AAHXTGJ722338,31133,Diesel,2479,"COMPATIBLES:
• PSA : 9806083180  9807259480  9817404780  9808182680  9817404580  9808182780  9809839480  9809089080",AH01,,GRIS,SLV9817404580,5.0,,"image_url.com/SToSFsTgOPdn8FqakzqOzNyQafBtk3SPDI21EBQe_dgREU9Gjdr9cg==,image_url.com/BEihFyzIw6EQZVI7aS7asEt85YYbYI_nrNhsY47uM1DQj-3uSEUlMQ==,image_url.com/YmIIZXl4YwtInY02MgKXGtdwCNYV-mCVw4_x9b3DzI8cnmru4xHjtg==,image_url.com/kson8_VSJLW_ahe-bLfalKbZ3oHzKAAa2NTJMr2s9gEEYHqsG6TyKQ==,image_url.com/XoJyv6G_dux7uBwEDaGctkocccsmL2rypDr-5TQ0iGiVxt-0jZ7oIQ==",150,1997
ASIENTO TRASERO MEDIO,1545383,CITROEN,Feel,GRAND C4 PICASSO/SPACETOURER,VF73AAHXTGJ722338,31133,Diesel,6612,,AH01,,GRIS,,5.0,"image_url.com/bjGBxq_BNTV8KQAMlgFAtcqmAbvkB0Atr37dpvnDasqrJxuIxhiEMw==","image_url.com/SToSFsTgOPdn8FqakzqOzNyQafBtk3SPDI21EBQe_dgREU9Gjdr9cg==,image_url.com/BEihFyzIw6EQZVI7aS7asEt85YYbYI_nrNhsY47uM1DQj-3uSEUlMQ==,image_url.com/YmIIZXl4YwtInY02MgKXGtdwCNYV-mCVw4_x9b3DzI8cnmru4xHjtg==,image_url.com/kson8_VSJLW_ahe-bLfalKbZ3oHzKAAa2NTJMr2s9gEEYHqsG6TyKQ==,image_url.com/XoJyv6G_dux7uBwEDaGctkocccsmL2rypDr-5TQ0iGiVxt-0jZ7oIQ==",150,1997
MANGUETA DELANTERA DERECHA,1488425,CITROEN,SX,BERLINGO FURGÓN,VF77J9HXC9J018587,29876,Diesel,4132,"EL COJINETE NO DISPONE DE GARANTIA.
DISCOS NO INCLUIDOS",9HX,20DP47,GRIS ALUMINIUM [EZR],,4.0,,"image_url.com/Dn7Sia99LDzU5ebpKvTxke1c_dWWLK67YD8W5ZRCzjYuJJhMbyGwWw==,image_url.com/LmVN4LNR_vJjsFDf2VFRg1JBNCiygjduUM3OiM_mBnakPGHmjOqDQg==,image_url.com/6waaPaMOxXd520ZcSRpCsRqE5I4Y5NCBKZEGnXUa97Hb7Y4KGHYbHw==,image_url.com/LSZTfzwOnrqZIeHDQ7BYayMB2bPHOgMro8LYPm15HGOeRUkn1r80Ww==,image_url.com/rzYxXFL3yAnbJHJaZtqafUmQl9Ddk2A4lkZPwN-np93jr8XqJX6IPg==",90,1560
CERRADURA MALETERO / PORTON,1466298,FIAT,Básico,III FIORINO (225),ZFA22500000305223,29382,Sin plomo 91,1653,LAS PIEZAS ELECTRICAS NO TIENEN DEVOLUCION.,KFT,,BLANCA,,,,"image_url.com/wt23cwU9Nc4JIQfVDfdkD-eazJN0UkUHFbNkXtku4XIOLVF1tTkuHw==,image_url.com/sN8U78QDoLdL-nkPP-uBjAWx_fB1v3soKMTzw8NRewYTbV6QuesM8g==,image_url.com/rZUycecXhgFE3p3RT1g0QcJXBsXqpWtGoNKROJVjNbeKHacrpSsp0A==,image_url.com/LmrooarAXN_10C2Lwt2d436ibQSvjdHOMaooSy9BbUjRcH1x7A2vSA==,image_url.com/mtJ5GFcmRwEysj4wCmGb8-7WM_ctPkiZJLe5owVSJJ050xzX4-dJ-Q==",73,1360
